제목,원제,개봉일,스트리밍,구매,평점,장르,재생 시간,감독,출연진,시놉시스,이미지,대여
네트워크,Network,(1976),"[('wavve', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]","[('Naver Store', ['₩1,500', 'HD'])]","['87%', '8.1 (153k)']",['드라마'],['2시간 1분'],['Sidney Lumet'],"['Faye Dunaway', 'Peter Finch', 'William Holden', 'Robert Duvall', 'Beatrice Straight', 'Wesley Addy', 'Ned Beatty', 'Arthur Burghardt', 'Bill Burrows', 'John Carpenter', 'Jordan Charney', 'Kathy Cronkite', 'Ed Crowley', 'Jerome Dempsey', 'Conchata Ferrell', 'Gene Gross', 'Stanley Grover', 'Cindy Grover', 'Darryl Hickman', 'Mitchell Jason', 'Paul Jenkins', 'Ken Kercheval', 'Kenneth Kimmins', 'Zane Lasky', 'Michael Lipton', 'Michael Lombard', 'Pirie MacDonald', 'Roy Poole', 'William Prince', 'Sasha von Scherler', 'Lane Smith', 'Ted Sorel', 'Fred Stuthman', 'Marlene Warfield', 'Lee Richardson', 'Lance Henriksen', 'Betty Ford', 'Gerald Ford']",USB 방송국의 뉴스 앵커 하워드 빌(피터 핀치 분)은 과장된 풍자와 독설로 한때 높은 시청률로 인기를 누렸던 인물이다. 그러나 점차 시청률이 떨어지게 되자 방송국의 사장(로버트 듀발 분)은 빌을 해고하려고 한다. 빌은 그의 직속상사(윌리엄 홀덴 분)와 함께 술을 마시는 자리에서 방송 중 자살에 대한 농담을 나누고는 고별 방송에서 시청률 저하 때문에 자살하겠다고 한다. 빌은 방송에서 교체되었지만 가까스로 고별방송을 할 수 있도록 허락받고는 시청자들에게 자신의 처지를 솔직히 털어놓는다. 그의 솔직함에 시청자들이 반응을 보이기 시작하며 시청률이 급등하자 프로그램 기획자인 다이아나(페이 다나웨이 분)는 빌의 상품성을 꿰뚫고는 사장에게 빌을 해고해서는 안된다고 설득한다. 빌은 다시 방송을 하게 되지만 직업적 스트레스로 인한 정신병이 점점 심해져간다.,https://images.justwatch.com/poster/92585104/s276/neteuweokeu.webp,"[('wavve', ['₩1,500', 'HD'])]"
닥터 지바고,Doctor Zhivago,(1965),,"[('wavve', ['₩4,950', 'HD']), ('Naver Store', ['₩4,950', 'HD'])]","['84%', '8.0 (73k)']","['드라마 , 로맨스 , 전쟁']",['3시간 20분'],['David Lean'],"['Omar Sharif', 'Julie Christie', 'Geraldine Chaplin', 'Rod Steiger', 'Alec Guinness', 'Tom Courtenay', 'Siobhán McKenna', 'Ralph Richardson', 'Rita Tushingham', 'Adrienne Corri', 'Bernard Kay', 'Geoffrey Keen', 'Klaus Kinski', 'Jeffrey Rockland', 'Gérard Tichy', 'Noel Willman', 'Tarek Sharif', 'Jack MacGowran', 'Mark Eden', 'Erik Chitty', 'Roger Maxwell', 'Wolf Frees', 'Gwen Nelson', 'Lucy Westmore', 'Lili Muráti', 'Peter Madden', 'Luana Alcañiz', 'Emilio Carrer', 'José María Caffarel', 'Catherine Ellison', 'Víctor Israel', 'Inigo Jackson', 'Leo Lähteenmäki', 'María Martín', 'José Nieto', 'Ricardo Palacios', 'Ingrid Pitt', 'Robert Rietti', 'Virgílio Teixeira', 'María Vico', 'Pilar Gómez Ferrer', 'Aldo Sambrell']","고아 유리 지바고(오마 샤리프)는 그로메코가(家)에 입양되어 성장한다. 그는 크렘린 궁성 앞에서 노동자와 학생들이 기마병에게 살해되는 것을 보고 큰 충격을 받고, 의학을 공부해 빈곤한 사람들을 돕고자 꿈꾼다. 열심히 의학실습에 몰두하던 중 운명의 여인 라라(줄리 크리스티)와 마주친다. 1차대전에 군의관으로 참전한 그는 우연히 종군간호부로 변신한 라라와 재회한다. 1917년 혁명정부가 수립된 러시아에서 유리는 숙청을 피해 우랄 산맥의 오지로 숨어든다. 궁핍하지만 평화가 감도는 전원 생활을 보내던 그는 우연히 그 근처로 이주해온 라라와 다시 운명적으로 만나게 되는데...",https://images.justwatch.com/poster/100723158/s276/dagteo-jibago.webp,"[('Naver Store', ['₩1,300', 'HD']), ('wavve', ['₩1,320', 'HD'])]"
매드 맥스,Mad Max,(1979),"[('Netflix', ['정액제', 'HD'])]","[('wavve', ['₩4,950', 'HD'])]","['75%', '6.9 (199k)']","['SF , 스릴러 , 액션']",['1시간 29분'],['George Miller'],"['Mel Gibson', 'Joanne Samuel', 'Hugh Keays-Byrne', 'Steve Bisley', 'Tim Burns', 'Roger Ward', 'Lisa Aldenhoven', 'David Bracks', 'Bertrand Cadart', 'David Cameron', 'Robina Chaffey', 'Stephen Clark', 'Mathew Constantine', 'Jerry Day', 'Reg Evans', 'Howard Eynon', 'Max Fairchild', 'John Farndale', 'Sheila Florance', 'Nic Gazzana', 'Hunter Gibb', 'Vincent Gil', 'Andrew Gilmore', 'Jonathan Hardy', 'Brendan Heath', 'Paul Johnstone', 'Nick Lathouris', 'John Ley', 'Steve Millichamp', 'Phil Motherwell', 'George Novak', 'Geoff Parry', 'Lulu Pinkus', 'Neil Thompson', 'Billy Tisdall', 'Gil Tucker', 'John Arnold', 'Joan Letch', 'Tom Broadbridge', 'Vernon Weaver', 'Paul Young', 'Di Trelour', 'Peter Ford', 'Christine Kaman', 'Clive Hearne', 'Telford Jackson', 'Kerry Miller', 'Brendan Young', 'Janine Ogden', ""Biker's Moll (uncredited)"", 'Bearded Man in Apron (uncredited)', 'Moll on Beach']",1979년작으로 매드 맥스 시리즈의 첫 작품이다. 오일쇼크와 대공황으로 사회기반이 무너져가는 근미래를 무대로 경찰인 맥스(멜 깁슨)가 폭주족 일당들과 싸운다는 스토리. 맬 깁슨의 젋은 시절 모습을 볼수있다.,https://images.justwatch.com/poster/8676747/s276/maedeu-maegseu.webp,"[('wavve', ['₩1,320', 'HD'])]"
월 스트리트,Wall Street,(1987),,"[('wavve', ['₩5,500', 'HD']), ('Naver Store', ['₩5,500', 'HD'])]","['79%', '7.4 (149k)']","['드라마 , 범죄']",['2시간 6분'],['Oliver Stone'],"['Charlie Sheen', 'Michael Douglas', 'Martin Sheen', 'Daryl Hannah', 'John C. McGinley', 'Hal Holbrook', 'Sean Young', 'Terence Stamp', 'James Spader', 'Chuck Pfeiffer', 'Lauren Tom', 'Tamara Tunie', 'Franklin Cover', 'James Karen', 'Saul Rubinek', 'Leslie Lyles', 'Faith Geer', 'Frank Adonis', 'John Capodice', 'Suzen Murakoshi', 'Dani Klein', 'Francois Giroday', 'Paul Guilfoyle', 'Monique van Vooren', 'Sylvia Miles', 'Annie McEnroe', 'Josh Mostel', 'Ann Talman', 'Lisa Zebro', 'Rocco Ancarola', 'Martin Sherman', 'Derek Keir', 'Andrea Thompson', 'George Blumenthal', 'George Vlachos', 'Liliane Montevecchi', 'Ronald von Klaussen', ""Michael O'Donoghue"", 'Pirie MacDonald', 'Thomas Anderson', 'Cecilia Peck', 'Jack Pruett', 'Ronald Yamamoto', 'Yanni Sfinias', 'Grant Shaud', 'Carol Schneider', 'Sean Stone', 'Astrid De Richemonte', 'Adelle Lutz', 'Christopher Burge', 'Richard Feigen', 'James Rosenquist', 'John Galateo', 'Richard Dysart', 'Marlena Bielinska', 'William G. Knight', 'Jean De Baer', 'Bruce Daniel Diker', 'Jeff Beck', 'Diego Del Vayo', 'Millie Perkins', 'Pat Skipper', 'John Deyle', 'Michael A. Raymond', 'Eugene Dumaresq', 'Lefty Lewis', 'Mike Rutigliano', 'Heather Evans', 'Ken Lipper', 'Donnie Kehr', 'Elise Richmond', 'David Logan', 'Paul Kawecki', 'Dickson Shaw', 'Patrick Weathers', 'Jill Dalton', 'Allan Salkin', 'Oliver Stone', 'Michael C. Mahon', 'Jeff Rector', 'Pamela Riley', 'Jon Wool', 'James Bulleit', 'Alexandra Neil', 'Sam Ingraffia', 'Anna Levine', 'Byron Utley', 'J. Adam Glover', 'David Hummel', 'Erville Light', 'Kevin Michael Moran', 'Chris Nelson Norris', 'Bill Phillips', 'Helen Proimos', 'Ron Turek', 'Eric Kramer']","뉴욕 맨하탄의 남쪽 끝에 자리한 세계 금융의 중심지 '월 스트리트'는 주인공 버드(Bud Fox: 찰리 쉰 분)가 근무하는 회사가 있는 곳이다. 몇 해나 증권거래소 주변에서 꿈을 키웠으나 일생을 증권브로커로 일한 사람도 별로 재산을 모으지 못하는 것을 알자, 야망에 불타는 버드 폭스는 지름길을 가기로 결심하고, 월 스트리트에서 악명높은 금융가 고든 게코(Gordon Gekko: 마이클 더글러스 분)를 찾아간다. 정상적인 주식 매매만으로는 어마어마한 재산을 만질 수 없다는 것을 아는 게코는 비상한 수단으로 남의 회사 주식을 매입, 그 퍼샌티지를 높아져, 싸게 인수한 주식을 고가로 팔아서, 하루 아침에 고액의 부를 이룩한 인물이다. 고든 게코와 손잡은 버드는 델타 제지를 그런 식으로 처분해서, 자기에게 돌아온 돈으로 맨하탄에 있는 100만 달러짜리 아파트를 사고 미녀를 거느리는 부자로 둔갑한다. 그러면서도 버드는, 운영에 허덕이는 자기 아버지 카알(마틴 쉰 분)이 근무하는 블루스타 항공사를 구해보려는 의도에서 게코에게 노조원들의 회사를 구하리라는 열의를 말하면서 블루스타를 구해보자고 제안하는데. [스포일러] 게코도 이에 응했으나 노조원들의 성의에도 불구하고 게코는 블루스타를 해체할 음모를 꾸민다. 이런 비밀을 알아낸 버드는 게코를 배신해 게코의 천천지 원수인 와일드맨경에게 달려가 모든 대가를 지불할 테니 블루스타를 구해달라 애원한다. 게코를 파멸시킬 수 있는 기회가 온 와일드맨경은 버드를 앞세워 주가를 조작해서 게코에게 어마어마한 손해를 입히고 블루스타를 구한다. 그러나 다음날 버드는 주식거래법 위반으로 체포되고 그는 지옥에의 길동무로 게코도 함께 교도소로 끌고 들어간다. 교도소에 들어가는 아들을 전송하면서 아버지는 교도소에서 나오면 땀흘려 일해서 버는 것이 옳다고 말하며 블루스타에서 일자리를 마련해 주기로 약속했으니 꾹 참고 죄값을 치르고 나오라고 격려한다.",https://images.justwatch.com/poster/8727136/s276/weol-seuteuriteu.webp,
미션,The Mission,(1986),,"[('wavve', ['₩6,050', 'HD']), ('Naver Store', ['₩6,050', 'HD'])]","['80%', '7.4 (59k)']","['드라마 , 액션 , 역사']",['2시간 6분'],['Roland Joffé'],"['Robert De Niro', 'Jeremy Irons', 'Ray McAnally', 'Aidan Quinn', 'Liam Neeson', 'Cherie Lunghi', 'Ronald Pickup', 'Chuck Low', 'Bercelio Moya', 'Sigifredo Ismare', 'Daniel Berrigan']","1750년, 남미의 오지로 선교활동을 떠난 가브리엘 신부 일행. 그들은 신비로운 폭포 절벽 꼭대기에 사는 원주민 과라니족의 마을에 교회를 세우고 이들과 함께 교감하는 데 성공한다. 한편, 악랄한 노예상 멘도자는 우발적으로 자신의 동생을 살해하게 되고, 죄책감과 절망에 빠진 그에게 가브리엘 신부는 함께 원주민 마을로 선교활동을 떠날 것을 권한다. 멘도자는 자신이 사고 팔던 과라니족의 순수한 모습에 진심으로 참회하며 헌신적으로 신부의 길을 걷기 시작한다. 그러나 아름다운 낙원에서의 평화도 잠시, 과라니족의 마을이 포르투갈 영토로 편입됨에 따라 원주민들은 위기에 처하고, 마을을 지키기 위해 무력으로 맞서야 한다는 멘도자와 비폭력의 원칙을 지키려는 가브리엘 신부는 각자의 방식을 선택하기에 이르는데…",https://images.justwatch.com/poster/193421988/s276/misyeon.webp,"[('wavve', ['₩1,540', 'HD']), ('Naver Store', ['₩1,540', 'HD'])]"
사랑과 영혼,Ghost,(1990),,"[('wavve', ['₩5,500', 'HD']), ('Naver Store', ['₩5,500', 'HD'])]","['79%', '7.1 (207k)']","['판타지 , 스릴러 , 드라마 , 로맨스']",['2시간 7분'],['Jerry Zucker'],"['Patrick Swayze', 'Demi Moore', 'Whoopi Goldberg', 'Tony Goldwyn', 'Vincent Schiavelli', 'Rick Aviles', 'Martina Deignan', 'Rick Kleber', 'Phil Leeds', 'Armelia McQueen', 'Gail Boggs', 'Stephen Root', 'Alma Beltran', 'Vivian Bonnell', 'Derek Thompson', 'Tom Finnegan', 'Bruce Jarchow', 'Said Faraj', 'Dorothy Love Coates', 'Christopher J. Keene', 'Susan Breslau', 'Macka Foley', 'John Hugh', 'Sharon Breslau', 'Angelina Estrada', 'Thom Curley', 'Laura Drake', 'Augie Blunt', 'J. Christopher Sullivan', 'Charlotte Zucker', 'Sondra Rubin', 'Faye Brenner', 'William Cort', 'Mabel Lockridge', 'Arsenio Hall']","금융전문가로 일하는 샘(페트릭 스웨이지)과 도예가인 몰리(데미 무어)는 동거생활을 하며 행복한 나날을 보낸다. 그러던 어느날 샘이 괴한의 총에 맞아 죽게 되는데, 육체에서 분리된 영혼은 지상에 남게 된다. 홀로 남겨진 몰리를 보호하고자 하는 샘은 지하철에서 만난 영혼으로부터 물건을 움직일 수 있는 방법을 배운다. 그러나 자신의 존재를 몰리에게 알릴 길이 없어 고심하던 샘은 점성술사 오다매(우피 골드버그)를 찾아가는데...",https://images.justwatch.com/poster/255998399/s276/saranggwa-yeonghon.webp,"[('wavve', ['₩1,500', 'HD']), ('Naver Store', ['₩1,500', 'HD'])]"
이브의 모든 것,All About Eve,(1950),,"[('Naver Store', ['₩2,800', 'HD'])]","['89%', '8.2 (126k)']","['드라마 , Made in Europe']",['2시간 19분'],['Joseph L. Mankiewicz'],"['Bette Davis', 'Anne Baxter', 'George Sanders', 'Celeste Holm', 'Gary Merrill', 'Hugh Marlowe', 'Gregory Ratoff', 'Thelma Ritter', 'Marilyn Monroe', 'Barbara Bates', 'Walter Hampden', 'Randy Stuart', 'Craig Hill', 'Leland Harris', 'Barbara White', 'William Pullen', 'Claude Stroud', 'Eugene Borden', 'Helen Mowery', 'Steven Geray', 'Bess Flowers', 'Colin Kenny', 'Harold Miller', 'Frank Baker', 'Franklyn Farnum', ""William H. O'Brien""]","극작가 로이드 리처즈(휴 마로)의 아내이자 유명한 연극 배우 마고 체닝(베티 데이비스)의 절친한 친구인 카렌(셀레스트 홈)은 체닝의 공연이 있던 어느 날 저녁, 무대 뒤편에서 매력적인 이브(앤 박스터)란 여인을 만난다. 이브는 카렌에게 자신의 이름과 함께 자신이 마고 체닝의 열렬한 팬이란 사실을 말한다. 이브의 참한 용모와 진솔한 태도에 감명받은 카렌은 이브를 분장실로 데리고 들어가 마고 체닝을 소개시켜주고 이브는 이 자리에서 자신의 지나온 일들을 털어놓는다.",https://images.justwatch.com/poster/8741804/s276/ibeuyi-modeun-geos.webp,
슈퍼맨 2,Superman II,(1980),"[('wavve', ['정액제', 'HD'])]","[('Naver Store', ['₩4,950', 'HD'])]","['75%', '6.8 (103k)']","['SF , 액션']",['2시간 7분'],['Richard Lester'],"['Gene Hackman', 'Christopher Reeve', 'Ned Beatty', 'Jackie Cooper', 'Sarah Douglas', 'Margot Kidder', ""Jack O'Halloran"", 'Valerie Perrine', 'Susannah York', 'Clifton James', 'E.G. Marshall', 'Marc McClure', 'Terence Stamp', 'Leueen Willoughby', 'Robin Pappas', 'Roger Kemp', 'Roger Brierley', 'Anthony Milner', 'Richard Griffiths', 'Melissa Wiltsie', 'Alain Dehay', 'Marc Boyle', 'Alan Stuart', 'John Ratzenberger', 'Shane Rimmer', 'John Morton', 'Jim Dowdall', 'Angus MacInnes', 'Antony Sher', 'Elva Mai Hoover', 'Hadley Kay', 'Todd Woodcroft', 'John Hollis', 'Gordon Rollings', 'Peter Whitman', 'Bill Bailey', 'Dinny Powell', 'Hal Galili', ""Marcus D'Amico"", 'Richard LeParmentier', 'Don Fellows', 'Tony Sibbald', 'Tommy Duggan', 'Pamela Mandell', 'Pepper Martin', 'Eugene Lipinski', 'Cleon Spencer', 'Carl Parris', 'Jack Cooper', 'Norman Chancer', 'Jean-Pierre Cassel', 'Richard Donner', 'Jeff East', 'Glenn Ford', 'Trevor Howard', 'Michael Shannon']","테러리스트들이 파리의 에펠탑을 점거하고 관광객을 인질로 하여 프랑스 정부에게 자기들의 요구를 들어주지 않으면 수소폭탄을 터뜨리겠다고 위협하는 사건이 발생한다. 데일리 플래닛 신문사의 유능한 기자 로이스(Lois Lane: 마곳 키더 분)는 이미 현장에서 취재를 하는데, 뒤늦게 그 사실을 알게 된 슈퍼맨(Superman/Clark Kent: 크리스토퍼 리브 분)이 날아가서 엘리베이트 밑에 묶여 떨어지는 루이스를 구하고, 수소폭탄을 지구 밖으로 날려보낸다. 이때 수소폭탄은 클립튼 행성이 폭발하기 전 슈퍼맨의 아버지 칼 알과 몇몇 판관들이 재판하여 '팬텀 존'에 가둬버린 악당 조드 사령관(General Zod: 테렌스 스탬프 분) 일당을 자유롭게 만드는 우주의 폭발을 일으킨다. 자유의 몸이 된 세 악당은 달을 탐사 중인 지구인 우주비행사를 죽이고 지구로 찾아오는데, 그들은 슈퍼맨과 맞먹는 괴력을 갖고 온갖 나쁜 짓을 한다. 한편 신혼 부부에게서 폭리를 취하는 나이아가라 폭포 주변의 호텔을 취재하기 위해, 클락과 로이스는 신혼 부부로 가장을 하고 잠입하는데, 폭포를 구경하던 한 남자 아이가 장난을 치다가 떨어지자 슈퍼맨이 나타나서 구해준다. 그 순간 클락이 없었다는 사실에 로이스는 그가 슈퍼맨이라고 확신하게 되고, 호텔에서 모닥불 위에 넘어져도 손을 덴 흔적이 없자, 클락의 정체는 드러나고 만다. 슈퍼맨은 로이스를 자신의 얼음 요새로 데려가서 모든 사실을 알려주고 두 사람의 사랑을 위해서 슈퍼맨의 능력을 버리고 인간이 되는 길을 택하는데.",https://images.justwatch.com/poster/204461677/s276/syupeomaen-2.webp,"[('Naver Store', ['₩1,300', 'HD'])]"
자유의 댄스,Footloose,(1984),,"[('Naver Store', ['₩5,500', 'HD'])]","['72%', '6.6 (75k)']","['드라마 , 음악 , 로맨스']",['1시간 47분'],['Herbert Ross'],"['Kevin Bacon', 'Lori Singer', 'John Lithgow', 'Dianne Wiest', 'Chris Penn', 'Sarah Jessica Parker', 'Jim Youngs', 'John Laughlin', 'Elizabeth Gorcey', 'Frances Lee McCain', 'Douglas Dirkson', 'Lynne Marta', 'Arthur Rosenberg', 'Timothy Scott', 'Alan Haufrect', 'Linda MacEwen', 'Kim Jensen', 'Michael Telmont', 'Leo Geter', 'Ken Kemp', 'Russ McGinn', 'Sam Dalton', 'H.E.D. Redford', 'Jay Bernard', 'David Valenza', 'Meghan Broadhead', 'Mimi Broadhead', 'Gene Pack', 'Marcia Dangerfield', 'John Perryman', 'Mary Ethel Gregory', 'Oscar Rowland', 'J. Paul Broadhead', 'John Bishop', 'Carmen Trevino', 'Melissa Renee Graehl', 'Monica M. Da Silva', 'Terri Gay Ulmer', 'Brandyn Cross', 'Kevin Denson', 'Michael Flynn', 'Deborah Frazier', 'Marcia Gay Harden', 'Andrea Hays', 'Michele Laurita', 'Brian L. McCarty', 'Alison Trouse', 'Brian Wimmer', 'Peter Tramm']","아버지의 가출로 렌은 어머니와 함께 시카고를 떠나 백부가 사는 유타주 버몬트로 이사를 간다. 그곳은 자유스러운 도시 생활과 달리 폐쇠적인 인습에 사로잡힌 시골 마을이었다. 렌은 백부와 교회에 갔다가 목사의 설교 가운데서 ""범람하는 포르노, 야비하고 외설적인 록음악, 땅에 떨어진 성도덕이 신의 시련""이라는 데서 반발을 느끼며 이 마을 청소년들이 정신적인 거세를 당했다는 결론을 내린다.",https://images.justwatch.com/poster/250595549/s276/footloose-1984.webp,"[('Naver Store', ['₩1,500', 'HD'])]"
제너럴,The General,(1926),"[('Plex', ['무료', 'HD'])]","[('Naver Store', ['₩500'])]","['87%', '8.1 (87k)']","['액션 , 코미디 , 드라마 , 전쟁 , 서부 , Made in Europe']",['1시간 19분'],"['Clyde Bruckman , Buster Keaton']","['Buster Keaton', 'Marion Mack', 'Glen Cavender', 'Jim Farley', 'Frederick Vroom', 'Charles Henry Smith', 'Joe Keaton', 'Al St. John', 'Frank Barnes', 'Mike Donlin', 'Tom Nawn', 'Jimmy Bryant', 'Budd Fine', 'Ray Hanford', 'Charles Phillips', 'Eddie Foster', 'Frank Hagney', 'Jack Hanlon', 'Edward Hearn', 'Hilliard Karr', 'Louis Lewyn', 'Elgin Lessley']","증기기관차 ‘제너럴’과 여자친구 애너벨 리를 사랑하는 기관사 조니는 남북전쟁이 발발하자 남군에 입대하려 하지만 거절당한다. 이 때문에 애너벨은 그가 겁쟁이라고 생각하게 된다. 어느 날 북군이 애너벨이 타고 있는 제너럴을 훔쳐가자, 조니는 자신의 두 연인을 구해내고 용기를 입증하려 하는데...",https://images.justwatch.com/poster/10678690/s276/jeneoreol.webp,
